transect_distance_m,datetime,latitude,snow_depth_m,melt_pond_depth_m,ice_thickness_mean_m,sw_absorbed_by_ocean,downwelling_radiative_flux_absorbed_by_ocean,surface_albedo,surface_downwelling_radiative_flux,transect_distance_m,par_absorbed_by_ocean
149.78235421911765,2020-06-27 11:26:47,81.95279,0.06902,0.0,3.4022371428571425,0.24510905146598816,0.24510905146598816,0.8548936247825623,364.1534118652344,149.78235421911765,0.8578816801309586
154.89464979053392,2020-06-27 11:26:51,81.95279,0.05726,0.0,3.404625714285714,0.28468939661979675,0.28468939661979675,0.8499106168746948,361.7603759765625,154.89464979053392,0.9964128881692886
157.44473819808357,2020-06-27 11:27:02,81.95279,0.0953999999999999,0.0,3.265571428571428,0.21320469677448273,0.21320469677448273,0.8618986010551453,367.5726318359375,157.44473819808357,0.7462164387106895
160.80796837008026,2020-06-27 11:27:11,81.9528,0.111,0.0,3.376457142857142,0.16077595949172974,0.16077595949172974,0.8644949793815613,368.85638427734375,160.80796837008026,0.5627158582210541
166.60747913684992,2020-06-27 11:27:18,81.9528,0.1099,0.0,3.513071428571428,0.13887734711170197,0.13887734711170197,0.8643406629562378,368.7798767089844,166.60747913684992,0.4860707148909569
173.6102736638379,2020-06-27 11:27:23,81.95281,0.05502,0.0,3.331094285714285,0.31951797008514404,0.31951797008514404,0.8487476706504822,361.2062683105469,173.6102736638379,1.1183128952980042
178.01743209844778,2020-06-27 11:27:29,81.95282,0.03933,0.0,3.4166414285714275,0.36837613582611084,0.36837613582611084,0.837670087814331,356.0187683105469,178.01743209844778,1.289316475391388
182.70281888896193,2020-06-27 11:27:35,81.95284,0.03596,0.0,3.368982857142856,0.4124748110771179,0.4124748110771179,0.834282398223877,354.46331787109375,182.70281888896193,1.4436618387699127
187.28526454997524,2020-06-27 11:27:42,81.95286,0.0494099999999999,0.0,3.4940757142857137,0.28727948665618896,0.28727948665618896,0.8454766273498535,359.6571044921875,187.28526454997524,1.0054782032966614
192.2598382409113,2020-06-27 11:27:49,81.95289,0.04157,0.0,3.063601428571428,0.5316466689109802,0.5316466689109802,0.8396180868148804,356.918212890625,192.2598382409113,1.8607633411884308
